Dateiname;Größe;Ersteller;Datum;Name;Beschreibung;Pfad
fileout_9.jpg;37822;"Omer Rajput";"2015-05-26 18:40:12";fileout_9.jpg;;/data/ultrasoundImagesAndPoses/fileout_9.jpg
probePoses.txt;4784;"Omer Rajput";"2015-05-26 18:40:04";probePoses.txt;;/data/ultrasoundImagesAndPoses/probePoses.txt
seg0.jpg;24518;"Omer Rajput";"2015-05-26 18:42:30";seg0.jpg;;/data/ultrasoundImagesAndPoses/seg/seg0.jpg
seg1.jpg;24519;"Omer Rajput";"2015-05-26 18:42:39";seg1.jpg;;/data/ultrasoundImagesAndPoses/seg/seg1.jpg
seg10.jpg;24603;"Omer Rajput";"2015-05-26 18:42:46";seg10.jpg;;/data/ultrasoundImagesAndPoses/seg/seg10.jpg
seg11.jpg;24442;"Omer Rajput";"2015-05-26 18:42:53";seg11.jpg;;/data/ultrasoundImagesAndPoses/seg/seg11.jpg
seg12.jpg;24415;"Omer Rajput";"2015-05-26 18:43:01";seg12.jpg;;/data/ultrasoundImagesAndPoses/seg/seg12.jpg
seg13.jpg;24693;"Omer Rajput";"2015-05-26 18:43:10";seg13.jpg;;/data/ultrasoundImagesAndPoses/seg/seg13.jpg
seg14.jpg;24464;"Omer Rajput";"2015-05-26 18:43:17";seg14.jpg;;/data/ultrasoundImagesAndPoses/seg/seg14.jpg
seg15.jpg;24585;"Omer Rajput";"2015-05-26 18:43:24";seg15.jpg;;/data/ultrasoundImagesAndPoses/seg/seg15.jpg
seg16.jpg;24607;"Omer Rajput";"2015-05-26 18:43:31";seg16.jpg;;/data/ultrasoundImagesAndPoses/seg/seg16.jpg
seg17.jpg;24791;"Omer Rajput";"2015-05-26 18:43:38";seg17.jpg;;/data/ultrasoundImagesAndPoses/seg/seg17.jpg
seg18.jpg;24548;"Omer Rajput";"2015-05-26 18:43:45";seg18.jpg;;/data/ultrasoundImagesAndPoses/seg/seg18.jpg
seg19.jpg;24690;"Omer Rajput";"2015-05-26 18:43:51";seg19.jpg;;/data/ultrasoundImagesAndPoses/seg/seg19.jpg
seg2.jpg;24402;"Omer Rajput";"2015-05-26 18:43:58";seg2.jpg;;/data/ultrasoundImagesAndPoses/seg/seg2.jpg
seg3.jpg;24565;"Omer Rajput";"2015-05-26 18:44:04";seg3.jpg;;/data/ultrasoundImagesAndPoses/seg/seg3.jpg
seg4.jpg;24577;"Omer Rajput";"2015-05-26 18:44:12";seg4.jpg;;/data/ultrasoundImagesAndPoses/seg/seg4.jpg
seg5.jpg;24512;"Omer Rajput";"2015-05-26 18:44:18";seg5.jpg;;/data/ultrasoundImagesAndPoses/seg/seg5.jpg
seg6.jpg;24404;"Omer Rajput";"2015-05-26 18:44:24";seg6.jpg;;/data/ultrasoundImagesAndPoses/seg/seg6.jpg
seg7.jpg;24664;"Omer Rajput";"2015-05-26 18:44:32";seg7.jpg;;/data/ultrasoundImagesAndPoses/seg/seg7.jpg
seg8.jpg;24716;"Omer Rajput";"2015-05-26 18:44:39";seg8.jpg;;/data/ultrasoundImagesAndPoses/seg/seg8.jpg
seg9.jpg;24728;"Omer Rajput";"2015-05-26 18:44:45";seg9.jpg;;/data/ultrasoundImagesAndPoses/seg/seg9.jpg
zWireCalibSim.gif;252852;"Omer Rajput";"2015-05-26 22:06:45";"Simulated scenario for z-wire phantom based calibration";;/simulation/zWireCalibSim.gif
zWireCalibSim.m;6953;"Omer Rajput";"2015-05-26 22:08:14";zWireCalibSim.m;;/simulation/zWireCalibSim.m
